Activity,SheetName,Goal,Type,RuleName,ClauseText,LiteralCount,SectionKeyA,SectionKeyB,SectionKeyC,SectionKeyF,SectionKeyG,SectionKeyH,Status,ErrorMessage
3.5. Manufacture of energy efficiency equipment for buildings,CCM_3.5,Substantial Contribution,Type A,Alignment Rule 1,ePBN110911_1 EQ1 AND ePBN111002_1 EQ1 AND ePBN993847_1 NEQ1,3,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Type A,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,OK,
3.5. Manufacture of energy efficiency equipment for buildings,CCM_3.5,Substantial Contribution,Type A,Alignment Rule 2,ePBN110911_1 EQ1 AND ePBN111003_1 EQ1 AND ePBN993847_1 NEQ1,3,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Type A,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,OK,
3.5. Manufacture of energy efficiency equipment for buildings,CCM_3.5,Substantial Contribution,Type A,Alignment Rule 3,ePBN110911_1 EQ1 AND ePBN115687_1 EQ1 AND ePBN993847_1 NEQ1,3,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Type A,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,OK,
3.5. Manufacture of energy efficiency equipment for buildings,CCM_3.5,Substantial Contribution,Type A,Alignment Rule 4,ePBN110911_1 EQ1 AND ePBN115688_1 EQ1 AND ePBN993847_1 NEQ1,3,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Type A,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,OK,
3.5. Manufacture of energy efficiency equipment for buildings,CCM_3.5,Substantial Contribution,Type A,Alignment Rule 5,ePBN110911_1 EQ1 AND ePBN115689_1 EQ1 AND ePBN993847_1 NEQ1,3,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Type A,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,OK,
3.5. Manufacture of energy efficiency equipment for buildings,CCM_3.5,Substantial Contribution,Type A,Alignment Rule 6,ePBN110911_1 EQ1 AND ePBN115690_1 EQ1 AND ePBN993847_1 NEQ1,3,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Type A,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,OK,
3.5. Manufacture of energy efficiency equipment for buildings,CCM_3.5,Substantial Contribution,Type A,Alignment Rule 7,ePBN110911_1 EQ1 AND ePBN115691_1 EQ1 AND ePBN993847_1 NEQ1,3,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Type A,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,OK,
3.5. Manufacture of energy efficiency equipment for buildings,CCM_3.5,Substantial Contribution,Type A,Alignment Rule 8,ePBN110911_1 EQ1 AND ePBN115692_1 EQ1 AND ePBN993847_1 NEQ1,3,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Type A,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,OK,
3.5. Manufacture of energy efficiency equipment for buildings,CCM_3.5,Substantial Contribution,Type A,Alignment Rule 9,ePBN110911_1 EQ1 AND ePBN115693_1 EQ1 AND ePBN993847_1 NEQ1,3,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Type A,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,OK,
3.5. Manufacture of energy efficiency equipment for buildings,CCM_3.5,Substantial Contribution,Type A,Alignment Rule 10,ePBN110911_1 EQ1 AND ePBN115694_1 EQ1 AND ePBN993847_1 NEQ1,3,Climate Change Mitigation,3.5,3.5. Manufacture of energy efficiency equipment for buildings,Substantial Contribution,Type A,((ePBN111002_1|ePBN111003_1|ePBN115700_1|ePBN115701_1|ePBN115699_1|ePBN115691_1|ePBN115692_1|ePBN115693_1|ePBN115694_1|ePBN115695_1|ePBN115696_1|ePBN115697_1|ePBN115698_1|ePBN115690_1|ePBN115688_1|ePBN115689_1|ePBN115687_1))&(ePBN993847_1<>1)&ePBN110911_1,OK,
